title,release_date,genre,director
Devil in a Blue Dress,1995-09-15,Drama,
Die Hard: With a Vengeance,1995-05-19,Action,
The Doom Generation,1995-10-27,Action,
Feast of July,1995-10-12,Drama,
First Knight,1995-07-07,Action,
Free Willy 2 - The Adventure Home,1995-07-19,Adventure,
Hackers,1995-09-14,Action,
Jeffrey,1995-08-18,Comedy,
Johnny Mnemonic,1995-05-26,Adventure,
Judge Dredd,1995-06-30,Science Fiction,
Jury Duty,1995-04-12,Comedy,
Kids,1995-07-28,Drama,
Living in Oblivion,1995-01-20,Drama,
Lord of Illusions,1995-08-25,Mystery,
Love & Human Remains,1993-05-20,Comedy,
Mad Love,1995-05-26,Drama,
Mallrats,1995-10-20,Romance,
Mighty Morphin Power Rangers: The Movie,1995-06-30,Action,
Moonlight and Valentino,1995-09-29,Comedy,
Mute Witness,1995-09-28,Thriller,
Nadja,1994-09-13,Horror,
The Net,1995-07-28,Crime,
Nine Months,1995-07-12,Comedy,
Party Girl,1995-06-09,Comedy,
The Prophecy,1995-09-01,Fantasy,
Reckless,1995-11-17,Fantasy,
Safe,1995-06-23,Drama,
The Scarlet Letter,1995-10-13,Drama,
The Show,1995-08-25,Documentary,
Showgirls,1995-09-22,Drama,
Smoke,1995-06-09,Comedy,
Something to Talk About,1995-08-04,Comedy,
Species,1995-07-07,Science Fiction,
The Stars Fell on Henrietta,1995-09-15,Drama,
Strange Days,1995-10-13,Crime,
The Umbrellas of Cherbourg,1964-02-19,Drama,
The Tie That Binds,1995-09-08,Thriller,
Three Wishes,1995-10-27,Drama,
Total Eclipse,1995-11-02,Drama,
"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-07,Comedy,
Under Siege 2: Dark Territory,1995-07-13,Action,
Unstrung Heroes,1995-09-15,Comedy,
Unzipped,1995-08-11,Documentary,
A Walk in the Clouds,1995-08-11,Drama,
Waterworld,1995-07-28,Adventure,
White Man's Burden,1995-12-01,Drama,
Wild Bill,1995-12-01,Action,
The Browning Version,1994-10-12,Drama,
Bushwhacked,1995-08-04,Adventure,
Burnt by the Sun,1994-05-01,Drama,
Before the Rain,1994-06-09,Drama,
Before Sunrise,1995-01-27,Drama,
Billy Madison,1995-02-10,Comedy,
The Babysitter,1995-10-17,Drama,
Boys on the Side,1995-02-03,Comedy,
The Cure,1995-04-21,Drama,
Castle Freak,1995-08-04,Thriller,
Circle of Friends,1995-03-16,Drama,
Clerks,1994-09-13,Comedy,
Don Juan DeMarco,1994-10-01,Romance,
Disclosure,1994-12-09,Drama,
Dream Man,1995-01-01,Thriller,
Drop Zone,1994-12-08,Action,
Destiny Turns on the Radio,1995-04-28,Crime,
Death and the Maiden,1994-05-04,Drama,
Dolores Claiborne,1995-03-24,Crime,
Dumb and Dumber,1994-12-16,Comedy,
Eat Drink Man Woman,1994-08-03,Comedy,
Exotica,1994-09-24,Drama,
Exit to Eden,1994-10-14,Thriller,
Ed Wood,1994-09-27,Comedy,
French Kiss,1995-05-05,Comedy,
Forget Paris,1995-05-19,Comedy,
Far from Home: The Adventures of Yellow Dog,1995-01-13,Action,
A Goofy Movie,1995-04-07,Romance,
Hideaway,1995-03-03,Drama,
Fluke,1995-06-02,Drama,
Farinelli,1994-12-07,History,
Gordy,1995-05-12,Drama,
Gumby: The Movie,1995-12-01,Fantasy,
The Glass Shield,1994-09-16,Drama,
Hoop Dreams,1994-09-12,Documentary,
Heavenly Creatures,1994-09-02,Drama,
Houseguest,1995-01-06,Comedy,
Immortal Beloved,1994-12-16,Drama,
Heavyweights,1995-02-17,Comedy,
The Hunted,1995-02-24,Action,
I.Q.,1994-12-24,Comedy,
Interview with the Vampire,1994-11-11,Horror,
Jefferson in Paris,1995-03-31,Drama,
The Jerky Boys,1995-02-03,Comedy,
Junior,1994-11-22,Comedy,
Just Cause,1995-02-17,Action,
A Kid in King Arthur's Court,1995-08-11,Adventure,
Kiss of Death,1995-04-21,Action,
Star Wars,1977-05-25,Adventure,
Little Women,1994-12-21,Drama,
A Little Princess,1995-05-10,Drama,
Ladybird Ladybird,1994-02-18,Drama,
L'Enfer,1994-02-16,Crime,
Like Water for Chocolate,1992-04-16,Drama,
Legends of the Fall,1994-12-16,Adventure,
Major Payne,1995-03-24,Adventure,
Little Odessa,1994-10-27,Action,
Mi Vida Loca,1994-06-08,Crime,
Love Affair,1994-10-21,Drama,
Losing Isaiah,1995-03-17,Drama,
The Madness of King George,1994-12-28,Comedy,
Mary Shelley's Frankenstein,1994-11-04,Drama,
Man of the House,1995-03-03,Action,
Mixed Nuts,1994-12-21,Comedy,
Milk Money,1994-08-31,Comedy,
Miracle on 34th Street,1994-11-18,Fantasy,
Miami Rhapsody,1995-01-27,Comedy,
My Family,1995-05-03,Comedy,
Murder in the First,1995-01-20,Crime,
Nobody's Fool,1994-12-23,Drama,
Nell,1994-12-23,Drama,
New Jersey Drive,1995-04-19,Crime,
New York Cop,1993-08-14,Action,
Beyond Bedlam,1994-04-22,Horror,
Nemesis 2 - Nebula,1995-09-26,Science Fiction,
Nina Takes a Lover,1995-03-03,Drama,
Natural Born Killers,1994-08-25,Crime,
Only You,1994-09-17,Comedy,
Once Were Warriors,1994-09-02,Drama,
Poison Ivy II: Lily,1996-01-16,Drama,
Outbreak,1995-03-10,Action,
Leon: The Professional,1994-09-14,Thriller,
The Perez Family,1995-05-12,Comedy,
A Pyromaniac's Love Story,1995-04-28,Comedy,
Pulp Fiction,1994-09-10,Thriller,
Panther,1995-11-10,Drama,
Pushing Hands,1992-02-01,Comedy,
Priest,1994-01-01,Drama,
Quiz Show,1994-09-16,History,
Picture Bride,1995-05-05,Drama,
Queen Margot,1994-05-13,Drama,
The Quick and the Dead,1995-02-09,Action,
Roommates,1995-03-01,Drama,
Prêt-à-Porter,1994-12-23,Drama,
Three Colors: Red,1994-05-27,Drama,
Three Colors: Blue,1993-01-10,Drama,
Three Colors: White,1994-01-26,Comedy,
"Red Firecracker, Green Firecracker",1994-10-14,Drama,
Rent-a-Kid,1995-01-01,Comedy,
Relative Fear,1995-10-03,Horror,
Stuart Saves His Family,1995-04-12,Comedy,
The Swan Princess,1994-11-18,Animation,
The Secret of Roan Inish,1994-01-01,Drama,
The Specialist,1994-10-07,Action,
Stargate,1994-10-27,Action,
The Santa Clause,1994-11-10,Fantasy,
The Shawshank Redemption,1994-09-23,Drama,
Shallow Grave,1994-12-22,Crime,
Suture,1993-09-14,Drama,
Strawberry and Chocolate,1993-01-01,Comedy,
Swimming with Sharks,1994-09-10,Crime,
The Sum of Us,1994-07-12,Comedy,
Senior Trip,1995-09-08,Comedy,
To Live,1994-06-30,Drama,
Tank Girl,1995-03-31,Action,
Tales from the Crypt: Demon Knight,1995-01-13,Horror,
Star Trek: Generations,1994-11-17,Science Fiction,
Tales from the Hood,1995-05-24,Crime,
Tom & Viv,1994-04-15,Drama,
Village of the Damned,1995-04-28,Thriller,
Tommy Boy,1995-03-31,Comedy,
Vanya on 42nd Street,1994-09-13,Drama,
The Underneath,1995-04-28,Thriller,
The Walking Dead,1995-02-24,Drama,
What's Eating Gilbert Grape,1993-12-17,Romance,
Virtuosity,1995-08-04,Action,
While You Were Sleeping,1995-04-21,Comedy,
The War,1994-11-04,Drama,
Double Happiness,1994-09-07,Comedy,
Muriel's Wedding,1994-09-29,Drama,
The Baby-Sitters Club,1995-08-18,Comedy,
Ace Ventura: Pet Detective,1994-02-04,Comedy,
"The Adventures of Priscilla, Queen of the Desert",1994-05-31,Drama,
Backbeat,1994-04-01,Drama,
Bitter Moon,1992-09-02,Thriller,
Bullets Over Broadway,1994-10-14,Action,
Clear and Present Danger,1994-08-03,Action,
The Client,1994-07-20,Drama,
"Corrina, Corrina",1994-08-12,Comedy,
Crooklyn,1994-05-13,Comedy,
The Crow,1994-05-11,Fantasy,
Cobb,1994-12-02,Drama,
The Flintstones,1994-05-26,Fantasy,
Forrest Gump,1994-07-06,Comedy,
Four Weddings and a Funeral,1994-03-09,Comedy,
Higher Learning,1995-01-11,Romance,
I Like It Like That,1994-10-14,Comedy,
I Love Trouble,1994-06-29,Action,
It Could Happen to You,1994-07-29,Comedy,
The Jungle Book,1994-12-23,Adventure,
"The Wonderful, Horrible Life of Leni Riefenstahl",1993-09-11,Documentary,
The Lion King,1994-06-23,Family,
Little Buddha,1993-12-01,Drama,
New Nightmare,1994-10-13,Horror,
The Mask,1994-07-29,Romance,
Maverick,1994-05-20,Action,
Mrs. Parker and the Vicious Circle,1994-09-07,Drama,
The Naked Gun 33⅓: The Final Insult,1994-03-18,Comedy,
The Paper,1994-03-18,Comedy,
Reality Bites,1994-02-18,Drama,
Red Rock West,1993-07-08,Crime,
Ri¢hie Ri¢h,1994-12-19,Comedy,
Safe Passage,1994-12-01,Drama,
The River Wild,1994-09-30,Action,
Speed,1994-06-09,Action,
Speechless,1994-12-16,Comedy,
Timecop,1994-09-15,Thriller,
True Lies,1994-07-14,Action,
When a Man Loves a Woman,1994-04-29,Drama,
Wolf,1994-06-17,Fantasy,
Wyatt Earp,1994-06-24,Drama,
Bad Company,1995-01-20,Action,
A Man of No Importance,1994-12-22,Comedy,
S.F.W.,1994-09-15,Comedy,
A Low Down Dirty Shame,1994-11-23,Action,
"Boys Life: Three Stories of Love, Lust, and Liberation",1994-09-30,Drama,
Colonel Chabert,1994-01-01,Drama,
"Faster, Pussycat! Kill! Kill!",1965-08-06,Action,
Jason's Lyric,1994-09-28,Crime,
The Secret Adventures of Tom Thumb,1993-12-10,Animation,
Street Fighter,1994-12-22,Action,
Coldblooded,1995-09-15,Action,
Desert Winds,1997-12-31,,
Fall Time,1995-05-13,Action,
The Fear,1995-01-20,Horror,
Frank and Ollie,1995-10-20,Documentary,
Girl in the Cadillac,1995-10-24,Romance,
Homage,1995-05-03,Thriller,
Mirage,1995-11-21,Action,
Open Season,1996-05-03,Comedy,
Dos Crímenes,1995-05-26,,
Brother Minister: The Assassination of Malcolm X,1995-03-01,Documentary,
Highlander: The Final Dimension,1994-11-29,Action,
Federal Hill,1995-02-24,,
In the Mouth of Madness,1994-12-12,Horror,
8 Seconds,1994-02-25,Drama,
Above the Rim,1994-03-23,Crime,
Addams Family Values,1993-11-19,Comedy,
Martin Lawrence: You So Crazy,1994-04-27,Comedy,
The Age of Innocence,1993-09-17,Drama,
Airheads,1994-08-05,Comedy,
The Air Up There,1994-01-07,Comedy,
Another Stakeout,1993-07-22,Action,
Bad Girls,1994-04-22,Action,
Barcelona,1994-07-29,Comedy,
Being Human,1994-05-06,Drama,
The Beverly Hillbillies,1993-10-15,Comedy,
Beverly Hills Cop III,1994-05-24,Action,
Black Beauty,1994-07-29,Action,
Blink,1994-01-26,Mystery,
Blown Away,1994-07-01,Drama,
Blue Chips,1994-02-18,Drama,
Blue Sky,1994-09-16,Drama,
Body Snatchers,1993-06-09,Horror,
Boxing Helena,1993-06-18,Drama,
A Bronx Tale,1993-09-14,Drama,
Cabin Boy,1994-01-07,Comedy,
Calendar Girl,1993-09-03,Drama,
Carlito's Way,1993-11-10,Action,
City Slickers II: The Legend of Curly's Gold,1994-06-10,Action,
Clean Slate,1994-05-06,Comedy,
Cliffhanger,1993-05-28,Action,
Coneheads,1993-07-23,Comedy,
Color of Night,1994-08-19,Drama,
Cops & Robbersons,1994-04-15,Action,
The Cowboy Way,1994-06-03,Western,
Dangerous Game,1993-11-19,Drama,
Dave,1993-05-07,Comedy,
Dazed and Confused,1993-09-24,Comedy,
Demolition Man,1993-10-08,Crime,
The Endless Summer 2,1994-06-03,Documentary,
Even Cowgirls Get the Blues,1994-05-13,Western,
Fatal Instinct,1993-10-29,Comedy,
Farewell My Concubine,1993-09-16,Drama,
The Favor,1994-04-29,Drama,
Fearless,1993-10-15,Drama,
Fear of a Black Hat,1994-10-28,Comedy,
With Honors,1994-04-29,Comedy,
Flesh and Bone,1993-11-05,Drama,
Widows' Peak,1994-05-13,Comedy,
For Love or Money,1993-10-01,Comedy,
The Firm,1993-06-30,Drama,
Free Willy,1993-07-16,Family,
Fresh,1994-08-24,Crime,
The Fugitive,1993-08-06,Adventure,
Geronimo: An American Legend,1993-12-10,History,
The Getaway,1994-02-11,Drama,
Getting Even with Dad,1994-06-17,Family,
Go Fish,1994-06-10,Drama,
A Good Man in Africa,1994-07-14,Comedy,
Guilty as Sin,1993-06-04,Drama,
Hard Target,1993-08-20,Action,
Heaven & Earth,1993-12-24,History,
Hot Shots! Part Deux,1993-05-21,Action,
Live Nude Girls,1995-12-08,Comedy,
The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12,Drama,
The House of the Spirits,1993-10-19,Romance,
House Party 3,1994-01-01,Comedy,
The Hudsucker Proxy,1994-03-11,Comedy,
I'll Do Anything,1994-02-04,Comedy,
In the Army Now,1994-08-12,Comedy,
In the Line of Fire,1993-07-08,Action,
In the Name of the Father,1993-12-12,Drama,
The Inkwell,1994-04-22,Comedy,
What's Love Got to Do with It,1993-06-09,Drama,
Jimmy Hollywood,1994-03-30,Comedy,
Judgment Night,1993-10-15,Action,
Jurassic Park,1993-06-11,Adventure,
Kalifornia,1993-09-01,Thriller,
Killing Zoe,1993-10-01,Action,
King of the Hill,1993-08-20,Drama,
Lassie,1994-07-22,Action,
Last Action Hero,1993-06-18,Adventure,
Life With Mikey,1993-06-04,Comedy,
Lightning Jack,1994-03-11,Action,
M. Butterfly,1993-09-09,Drama,
Made in America,1993-05-27,Comedy,
Malice,1993-09-29,Drama,
The Man without a Face,1993-08-25,Drama,
Manhattan Murder Mystery,1993-08-18,Comedy,
Menace II Society,1993-05-26,Drama,
Executive Decision,1996-03-15,Action,
In the Realm of the Senses,1976-05-15,Drama,
What Happened Was...,1994-09-09,Thriller,
Much Ado About Nothing,1993-05-07,Drama,
Mr. Jones,1993-10-08,Drama,
Mr. Wonderful,1993-10-15,Comedy,
Mrs. Doubtfire,1993-11-24,Comedy,
Naked,1993-09-14,Comedy,
The Next Karate Kid,1994-07-18,Adventure,
The New Age,1994-09-16,Comedy,
No Escape,1994-04-29,Action,
North,1994-07-22,Comedy,
Orlando,1992-09-01,Romance,
A Perfect World,1993-11-24,Crime,
Philadelphia,1993-12-22,Drama,
The Piano,1993-05-19,Drama,
Poetic Justice,1993-07-23,Drama,
The Program,1993-09-24,Drama,
The Puppet Masters,1994-10-21,Horror,
Radioland Murders,1994-10-21,Comedy,
The Ref,1994-03-09,Comedy,
The Remains of the Day,1993-11-05,Drama,
Renaissance Man,1994-06-03,Comedy,
Rising Sun,1993-07-30,Action,
The Road to Wellville,1994-10-28,Comedy,
RoboCop 3,1993-04-17,Action,
Robin Hood: Men in Tights,1993-07-28,Comedy,
Romeo Is Bleeding,1993-09-13,Action,
Romper Stomper,1992-03-05,Action,
Ruby in Paradise,1993-10-08,Drama,
Rudy,1993-09-17,Drama,
The Saint of Fort Washington,1993-11-03,Drama,
Savage Nights,1992-08-19,Drama,
Schindler's List,1993-11-29,Drama,
The Scout,1994-09-30,Comedy,
Searching for Bobby Fischer,1993-08-13,Drama,
Second Best,1994-09-30,Drama,
The Secret Garden,1993-08-13,Drama,
Serial Mom,1994-04-13,Comedy,
The Shadow,1994-07-01,Adventure,
Shadowlands,1993-12-25,Drama,
Short Cuts,1993-09-05,Comedy,
A Simple Twist of Fate,1994-09-02,Drama,
Sirens,1993-10-01,Comedy,
Six Degrees of Separation,1993-12-08,Mystery,
Sleepless in Seattle,1993-06-24,Comedy,
Sliver,1993-05-21,Drama,
Blade Runner,1982-06-25,Science Fiction,
Son in Law,1993-07-02,Comedy,
So I Married an Axe Murderer,1993-07-30,Comedy,
Striking Distance,1993-09-17,Crime,
Harem,1985-11-20,History,
Super Mario Bros.,1993-05-28,Adventure,
Surviving the Game,1994-04-15,Action,
Terminal Velocity,1994-09-23,Action,
Thirty Two Short Films About Glenn Gould,1993-11-26,Drama,
Threesome,1994-04-08,Comedy,
The Nightmare Before Christmas,1993-10-09,Fantasy,
The Three Musketeers,1993-11-11,Action,
Tombstone,1993-12-25,Action,
Trial by Jury,1994-09-09,Drama,
True Romance,1993-09-09,Action,
The War Room,1993-12-05,Documentary,
The Pagemaster,1994-11-23,Fantasy,
"Paris, France",1994-02-04,Drama,
"The Beans of Egypt, Maine",1994-01-01,,
Killer,1994-09-14,Thriller,
Welcome to the Dollhouse,1995-05-24,Comedy,
Germinal,1993-09-29,Drama,
Chasers,1994-04-22,Comedy,
Cronos,1993-09-12,Drama,
Naked in New York,1993-11-10,Comedy,
Kika,1993-10-28,Comedy,
Bhaji on the Beach,1994-01-21,Comedy,
Little Big League,1994-06-29,Comedy,
The Slingshot,1993-09-24,Drama,
Wide Eyed and Legless,1993-09-05,TV Movie,
Foreign Student,1994-07-29,Drama,
"Ciao, Professore!",1992-10-01,Comedy,
Spanking the Monkey,1994-01-15,Comedy,
The Little Rascals,1994-08-05,Romance,
À la mode,1993-09-10,Comedy,
Andre,1994-08-17,Drama,
The Escort,1993-01-01,Thriller,
Princess Caraboo,1994-09-16,Comedy,
The Celluloid Closet,1996-01-30,History,
Café au Lait,1993-01-01,Drama,
Dear Diary,1993-10-12,Comedy,
I Don't Want to Talk About It,1993-05-20,Romance,
The Brady Bunch Movie,1995-02-16,Comedy,
Home Alone,1990-11-09,Comedy,
Ghost,1990-07-12,Fantasy,
Aladdin,1992-11-25,Animation,
Terminator 2: Judgment Day,1991-07-01,Action,
Dances with Wolves,1990-11-09,Adventure,
Tough and Deadly,1995-02-14,Thriller,
Batman,1989-06-23,Fantasy,
The Silence of the Lambs,1991-02-01,Crime,
Snow White and the Seven Dwarfs,1937-12-20,Fantasy,
Beauty and the Beast,1991-11-13,Romance,
Pinocchio,1940-02-23,Animation,
Pretty Woman,1990-03-23,Romance,
Window to Paris,1993-12-01,Comedy,
The Wild Bunch,1969-06-17,Adventure,
Love and a .45,1994-11-23,Crime,
The Wooden Man's Bride,1994-02-05,Drama,
A Great Day in Harlem,1994-09-27,,
Bye Bye Love,1995-03-16,Comedy,
One Fine Day,1996-12-20,Comedy,
Candyman: Farewell to the Flesh,1995-03-17,Horror,
Century,1993-12-31,Romance,
Fargo,1996-04-05,Crime,
Homeward Bound II: Lost in San Francisco,1996-03-08,Adventure,
Heavy Metal,1981-08-07,Animation,
Hellraiser: Bloodline,1996-03-08,Horror,
The Pallbearer,1996-05-03,Comedy,
Jane Eyre,1996-02-09,Drama,
Loaded,1996-04-12,Drama,
Bread and Chocolate,1974-05-05,Comedy,
The Aristocats,1970-12-23,Animation,
The Flower of My Secret,1995-09-22,Drama,
Two Much,1996-02-14,Comedy,
Ed,1996-03-15,Comedy,
Scream of Stone,1991-01-01,Adventure,
My Favorite Season,1993-05-14,Drama,
A Modern Affair,1996-09-06,,
Condition Red,1995-12-08,Thriller,
Halfaouine: Boy of the Terraces,1990-01-01,Comedy,
A Thin Line Between Love and Hate,1996-04-04,Comedy,
The Last Supper,1995-09-08,Comedy,
Primal Fear,1996-04-03,Crime,
Rude,1995-09-08,,
Carried Away,1996-01-26,Drama,
All Dogs Go to Heaven 2,1996-03-29,Romance,
Land and Freedom,1995-01-01,Drama,
Denise Calls Up,1995-05-17,Comedy,
Theodore Rex,1995-12-14,Fantasy,
A Family Thing,1996-03-29,Comedy,
Frisk,1996-03-22,Drama,
Sgt. Bilko,1996-03-29,Comedy,
Jack & Sarah,1995-06-02,Comedy,
Girl 6,1996-03-22,Comedy,
Diabolique,1996-03-22,Drama,
"Little Indian, Big City",1994-12-14,Adventure,
Roula,1995-09-11,Romance,
Peanuts – Die Bank zahlt alles,1996-03-21,Comedy,
Happy Weekend,1996-03-14,Comedy,
Nelly and Monsieur Arnaud,1996-04-12,Drama,
Courage Under Fire,1996-07-04,Drama,
Mission: Impossible,1996-05-22,Adventure,
Cold Fever,1995-02-10,Drama,
Moll Flanders,1996-06-14,Drama,
The Superwife,1996-03-06,Comedy,
"301, 302",1995-04-22,Horror,
DragonHeart,1996-05-31,Fantasy,
Und keiner weint mir nach,1996-02-29,Drama,
My Mother's Courage,1995-09-12,Drama,
Eddie,1996-05-31,Action,
Yankee Zulu,1993-12-01,Drama,
Billy's Holiday,1995-07-26,,
Purple Noon,1960-03-10,Crime,
August,1996-08-08,Romance,
James and the Giant Peach,1996-04-12,Adventure,
Fear,1996-04-12,Drama,
Kids in the Hall: Brain Candy,1996-04-02,Comedy,
Faithful,1996-04-03,Comedy,
Underground,1995-04-11,War,
All Things Fair,1995-03-08,War,
Bloodsport II,1996-03-01,Action,
Pather Panchali,1955-08-26,Drama,
The World of Apu,1959-05-01,Drama,
Mystery Science Theater 3000: The Movie,1996-04-19,Comedy,
Tarantella,1996-03-15,,
Space Jam,1996-11-15,Animation,
Barbarella,1968-10-10,Science Fiction,
Hostile Intentions,1995-01-01,Thriller,
They Bite,1996-01-01,Comedy,
Some Folks Call It a Sling Blade,1994-03-26,Drama,
The Run of the Country,1995-09-22,Drama,
Alphaville,1965-05-05,Drama,
Coup de Torchon,1981-11-04,Drama,
Tigrero: A Film That Was Never Made,1994-01-01,Documentary,
The Eye of Vichy,1993-05-20,,
Windows,1980-01-18,Horror,
It's My Party,1996-03-22,Drama,
Country Life,1994-10-27,Drama,
Operation Dumbo Drop,1995-07-28,Action,
